Year	Month	Date	Anomoly_Celcius
1894	7	1894-07-01	-.24
1894	8	1894-08-01	-.24
1894	9	1894-09-01	-.28
1894	10	1894-10-01	-.23
1894	11	1894-11-01	-.26
1894	12	1894-12-01	-.21
1895	1	1895-01-01	-.41
1895	2	1895-02-01	-.43
1895	3	1895-03-01	-.32
1895	4	1895-04-01	-.22
1895	5	1895-05-01	-.28
1895	6	1895-06-01	-.21
1895	7	1895-07-01	-.17
1895	8	1895-08-01	-.17
1895	9	1895-09-01	-.12
1895	10	1895-10-01	-.11
1895	11	1895-11-01	-.17
1895	12	1895-12-01	-.14
1896	1	1896-01-01	-.22
1896	2	1896-02-01	-.12
1896	3	1896-03-01	-.26
1896	4	1896-04-01	-.30
1896	5	1896-05-01	-.15
1896	6	1896-06-01	-.11
1896	7	1896-07-01	-.02
1896	8	1896-08-01	-.05
1896	9	1896-09-01	-.07
1896	10	1896-10-01	.06
1896	11	1896-11-01	-.04
1896	12	1896-12-01	-.04
1897	1	1897-01-01	-.15
1897	2	1897-02-01	-.16
1897	3	1897-03-01	-.13
1897	4	1897-04-01	-.02
1897	5	1897-05-01	-.01
1897	6	1897-06-01	-.11
1897	7	1897-07-01	-.02
1897	8	1897-08-01	-.09
1897	9	1897-09-01	-.08
1897	10	1897-10-01	-.13
1897	11	1897-11-01	-.18
1897	12	1897-12-01	-.21
1898	1	1898-01-01	-.02
1898	2	1898-02-01	-.30
1898	3	1898-03-01	-.51
1898	4	1898-04-01	-.31
1898	5	1898-05-01	-.31
1898	6	1898-06-01	-.19
1898	7	1898-07-01	-.23
1898	8	1898-08-01	-.27
1898	9	1898-09-01	-.21
1898	10	1898-10-01	-.34
1898	11	1898-11-01	-.38
1898	12	1898-12-01	-.23
1899	1	1899-01-01	-.16
1899	2	1899-02-01	-.38
1899	3	1899-03-01	-.36
1899	4	1899-04-01	-.20
1899	5	1899-05-01	-.23
1899	6	1899-06-01	-.31
1899	7	1899-07-01	-.16
1899	8	1899-08-01	-.09
1899	9	1899-09-01	-.05
1899	10	1899-10-01	-.04
1899	11	1899-11-01	.12
1899	12	1899-12-01	-.26
1900	1	1900-01-01	-.36
1900	2	1900-02-01	-.06
1900	3	1900-03-01	.00
1900	4	1900-04-01	-.09
1900	5	1900-05-01	-.09
1900	6	1900-06-01	-.10
1900	7	1900-07-01	-.13
1900	8	1900-08-01	-.09
1900	9	1900-09-01	-.05
1900	10	1900-10-01	.09
1900	11	1900-11-01	-.07
1900	12	1900-12-01	-.07
1901	1	1901-01-01	-.22
1901	2	1901-02-01	-.11
1901	3	1901-03-01	.06
1901	4	1901-04-01	-.03
1901	5	1901-05-01	-.15
1901	6	1901-06-01	-.12
1901	7	1901-07-01	-.15
1901	8	1901-08-01	-.21
1901	9	1901-09-01	-.22
1901	10	1901-10-01	-.29
1901	11	1901-11-01	-.16
1901	12	1901-12-01	-.27
1902	1	1902-01-01	-.16
1902	2	1902-02-01	-.09
1902	3	1902-03-01	-.27
1902	4	1902-04-01	-.28
1902	5	1902-05-01	-.33
1902	6	1902-06-01	-.32
1902	7	1902-07-01	-.28
1902	8	1902-08-01	-.30
1902	9	1902-09-01	-.29
1902	10	1902-10-01	-.30
1902	11	1902-11-01	-.36
1902	12	1902-12-01	-.42
1903	1	1903-01-01	-.24
1903	2	1903-02-01	-.06
1903	3	1903-03-01	-.23
1903	4	1903-04-01	-.41
1903	5	1903-05-01	-.40
1903	6	1903-06-01	-.43
1903	7	1903-07-01	-.35
1903	8	1903-08-01	-.45
1903	9	1903-09-01	-.49
1903	10	1903-10-01	-.46
1903	11	1903-11-01	-.41
1903	12	1903-12-01	-.50
1904	1	1904-01-01	-.62
1904	2	1904-02-01	-.58
1904	3	1904-03-01	-.51
1904	4	1904-04-01	-.50
1904	5	1904-05-01	-.52
1904	6	1904-06-01	-.48
1904	7	1904-07-01	-.51
1904	8	1904-08-01	-.49
1904	9	1904-09-01	-.55
1904	10	1904-10-01	-.39
1904	11	1904-11-01	-.17
1904	12	1904-12-01	-.33
1905	1	1905-01-01	-.35
1905	2	1905-02-01	-.59
1905	3	1905-03-01	-.21
1905	4	1905-04-01	-.34
1905	5	1905-05-01	-.29
1905	6	1905-06-01	-.28
1905	7	1905-07-01	-.27
1905	8	1905-08-01	-.21
1905	9	1905-09-01	-.19
1905	10	1905-10-01	-.25
1905	11	1905-11-01	-.07
1905	12	1905-12-01	-.13
1906	1	1906-01-01	-.28
1906	2	1906-02-01	-.29
1906	3	1906-03-01	-.18
1906	4	1906-04-01	-.04
1906	5	1906-05-01	-.26
1906	6	1906-06-01	-.20
1906	7	1906-07-01	-.23
1906	8	1906-08-01	-.20
1906	9	1906-09-01	-.28
1906	10	1906-10-01	-.20
1906	11	1906-11-01	-.38
1906	12	1906-12-01	-.14
1907	1	1907-01-01	-.42
1907	2	1907-02-01	-.51
1907	3	1907-03-01	-.27
1907	4	1907-04-01	-.37
1907	5	1907-05-01	-.47
1907	6	1907-06-01	-.42
1907	7	1907-07-01	-.35
1907	8	1907-08-01	-.34
1907	9	1907-09-01	-.34
1907	10	1907-10-01	-.22
1907	11	1907-11-01	-.47
1907	12	1907-12-01	-.47
1908	1	1908-01-01	-.44
1908	2	1908-02-01	-.32
1908	3	1908-03-01	-.55
1908	4	1908-04-01	-.44
1908	5	1908-05-01	-.37
1908	6	1908-06-01	-.38
1908	7	1908-07-01	-.35
1908	8	1908-08-01	-.46
1908	9	1908-09-01	-.35
1908	10	1908-10-01	-.44
1908	11	1908-11-01	-.52
1908	12	1908-12-01	-.49
1909	1	1909-01-01	-.72
1909	2	1909-02-01	-.45
1909	3	1909-03-01	-.54
1909	4	1909-04-01	-.59
1909	5	1909-05-01	-.54
1909	6	1909-06-01	-.52
1909	7	1909-07-01	-.45
1909	8	1909-08-01	-.34
1909	9	1909-09-01	-.38
1909	10	1909-10-01	-.40
1909	11	1909-11-01	-.32
1909	12	1909-12-01	-.56
1910	1	1910-01-01	-.42
1910	2	1910-02-01	-.40
1910	3	1910-03-01	-.50
1910	4	1910-04-01	-.43
1910	5	1910-05-01	-.34
1910	6	1910-06-01	-.39
1910	7	1910-07-01	-.34
1910	8	1910-08-01	-.37
1910	9	1910-09-01	-.39
1910	10	1910-10-01	-.41
1910	11	1910-11-01	-.57
1910	12	1910-12-01	-.67
1911	1	1911-01-01	-.62
1911	2	1911-02-01	-.58
1911	3	1911-03-01	-.61
1911	4	1911-04-01	-.54
1911	5	1911-05-01	-.52
1911	6	1911-06-01	-.51
1911	7	1911-07-01	-.42
1911	8	1911-08-01	-.44
1911	9	1911-09-01	-.41
1911	10	1911-10-01	-.27
1911	11	1911-11-01	-.22
1911	12	1911-12-01	-.22
1912	1	1912-01-01	-.27
1912	2	1912-02-01	-.16
1912	3	1912-03-01	-.39
1912	4	1912-04-01	-.18
1912	5	1912-05-01	-.22
1912	6	1912-06-01	-.24
1912	7	1912-07-01	-.43
1912	8	1912-08-01	-.55
1912	9	1912-09-01	-.57
1912	10	1912-10-01	-.58
1912	11	1912-11-01	-.40
1912	12	1912-12-01	-.43
1913	1	1913-01-01	-.41
1913	2	1913-02-01	-.45
1913	3	1913-03-01	-.43
1913	4	1913-04-01	-.40
1913	5	1913-05-01	-.44
1913	6	1913-06-01	-.46
1913	7	1913-07-01	-.37
1913	8	1913-08-01	-.33
1913	9	1913-09-01	-.35
